planet_name,aliases,period_days,period_err_days,t0_bjd_tdb,t0_err_days,duration_hours,duration_err_hours,depth_ppt,depth_err_ppt,rp_rs,rp_rs_err,model_depth_ppt,a_rs,a_rs_err,inclination_deg,inclination_err_deg,ecc,ecc_err,omega_deg,omega_err_deg,stellar_teff_k,stellar_teff_err_k,stellar_logg,stellar_logg_err,stellar_feh,stellar_feh_err,ra_deg,dec_deg,time_reference,source,notes
"Kepler-388 b",Kepler388b;Kepler388,3.173315,1.8E-05,2454966.69965,0.0035,2.042,0.112,0.2045,0.011199999999999998,0.013094,0.0005365,0.171452836,12.83,1.7,89.62,,0,,,,4498,200,4.69,0.3,0,0.151,284.8280577,44.6086451,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-388 c",Kepler388c;Kepler388,13.297004,0.000185,2454973.94788,0.00559,3.277,0.193,0.2197,0.0165,0.013131,0.000698,0.17242316100000002,31.34,7.5,89.95,,0,,,,4498,200,4.69,0.3,0,0.151,284.8280577,44.6086451,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-389 b",Kepler389b;Kepler389,3.244107,3E-05,2454965.94408,0.00642,2.094,0.132,0.3719,0.0234,0.018432,0.000789,0.33973862400000004,5.9,2.3,84.86,,0,,,,5376,250,4.57,0.3,-0.1,0.04,291.9600082,44.9000587,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-389 c",Kepler389c;Kepler389,14.51143,0.000305,2454976.86026,0.01341,2.967,0.272,0.3558,0.035,0.016943,0.001144,0.287065249,11.51,5.7,85.38,,0,,,,5376,250,4.57,0.3,-0.1,0.04,291.9600082,44.9000587,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-39 b",Kepler39b;Kepler39,21.08721,3.7E-05,2455942.60708,0.00024,5.96,0.02,8.8947,0.0183,0.091,0.0007,8.281,24.92,1.7,89.07,0.22,0.112,0.057,99,18,6350,100,4.4,0.15,0.1,0.14,296.9603348,46.0342954,BJD-TDB,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-390 b",Kepler390b;Kepler390,6.738088,6.7E-05,2454966.32269,0.00634,2.377,0.188,0.0929,0.0075,0.009275,0.0004615,0.086025625,21.28,2.1,89.57,,0,,,,5166,100,4.569,0.15,-0.0443,0.0125,291.6288086,41.2088351,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-390 c",Kepler390c;Kepler390,13.060022,0.000257,2454977.33121,0.00969,2.665,0.368,0.1068,0.0097,0.009582,0.0005384999999999999,0.091814724,30.81,7.7,89.08,,0,,,,5166,100,4.569,0.15,-0.0443,0.0125,291.6288086,41.2088351,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-391 b",Kepler391b;Kepler391,7.4175,0.0032,2455690.3959,0.01095,7.12,0.222,0.0726,0.0039,0.00795,0.00030500000000000004,0.06320250000000001,6.2,0.275,85.5,2.3,0.46,,103,49.5,5038,57,3.62,0.05,0.04,0.02,290.6218844,51.0573453,BJD-TDB,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-391 c",Kepler391c;Kepler391,20.501,0.021,2455696.9123,0.00795,10.229,0.314,0.0895,0.0054,0.00915,0.00034,0.0837225,12.23,0.5449999999999999,87.27,0.6,0.27,,126,81.5,5038,57,3.62,0.05,0.04,0.02,290.6218844,51.0573453,BJD-TDB,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-392 b",Kepler392b;Kepler392,5.341853,5.5E-05,2454969.30141,0.00756,3.043,0.185,0.0705,0.0040999999999999995,0.007764,0.00030000000000000003,0.060279696,11.48,1.4,89.65,,0,,,,5938,226,4.323,0.15,-0.4362,0.017,288.660826,43.3681938,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
