planet_name,aliases,period_days,period_err_days,t0_bjd_tdb,t0_err_days,duration_hours,duration_err_hours,depth_ppt,depth_err_ppt,rp_rs,rp_rs_err,model_depth_ppt,a_rs,a_rs_err,inclination_deg,inclination_err_deg,ecc,ecc_err,omega_deg,omega_err_deg,stellar_teff_k,stellar_teff_err_k,stellar_logg,stellar_logg_err,stellar_feh,stellar_feh_err,ra_deg,dec_deg,time_reference,source,notes,catalogue_type,depth_source,rprs_source,geometry_source,stellar_source,exoclock_priority,exoclock_total_observations,exoclock_recent_observations,exoclock_current_oc_min,exoclock_min_telescope_inches,v_mag,r_mag,gaia_g_mag
HD2685b,HD2685b,4.12690466,3.8e-07,2459171.799188,6.6e-05,4.49,,10.681796930936184,,0.09467,,10.681796930936184,7.697,,89.25,,0.091,,90.0,,6801.0,,4.21,,,,7.3289695833333335,-76.30406194444444,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,low,34.0,,-2.25,5.0,9.59,9.348,9.52
HD28109c,HD28109c,56.00014,0.00083,2459233.261,0.01,8.96,,0.8101815782650679,,0.02632,,0.8101815782650679,45.8,,89.543,,0.0,,90.0,,6120.0,,4.13,,,,65.23805041666667,-68.10264277777777,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,15.0,,0.0,36.74,9.38,9.104,9.3
HD28109d,HD28109d,84.2574,0.0025,2458439.9242,0.0053,10.13,,0.46961705434656054,,0.01999,,0.46961705434656054,61.1,,89.682,,0.0,,90.0,,6120.0,,4.13,,,,65.23805041666667,-68.10264277777777,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,6.0,,0.0,62.71,9.38,9.104,9.3
HD3167b,HD3167b,0.959641,1.2e-05,2457394.3745,0.0004,1.64,,0.3499316937528585,,0.0174,,0.3499316937528585,4.1,,83.4,,0.0,,90.0,,5370.0,,4.52,,,,8.739684583333332,4.381467499999999,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,0.0,,0.0,103.98,8.956,8.4,8.762
HD3167c,HD3167c,29.846496,6.9e-05,2458499.29839,0.00072,4.82,,1.1138304149146405,,0.03075,,1.1138304149146405,44.01,,89.421,,0.0,,90.0,,5370.0,,4.52,,,,8.739684583333332,4.381467499999999,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,6.0,,0.0,26.08,8.956,8.4,8.762
HD332231b,HD332231b,18.71175,0.00013,2459384.5968,0.0029,6.12,,5.877278664332852,,0.06976,,5.877278664332852,24.21,,89.68,,0.032,,90.0,,6089.0,,4.279,,,,306.7413245833333,33.74445111111111,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,alert,8.0,,80.61,5.0,8.56,8.216,8.418
HD5278b,HD5278b,14.339197,2.4e-05,2458809.75022,0.0008,4.81,,0.4143794378546062,,0.01874,,0.4143794378546062,21.2,,89.27,,0.08,,90.0,,6203.0,,4.5,,,,12.541269583333335,-83.74389805555556,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,12.0,,0.0,64.41,7.95,7.606,7.804
HD63433b,HD63433b,7.1079402,9.3e-06,2459399.7924,0.00041,3.22,,0.5708780901223509,,0.02161,,0.5708780901223509,16.95,,89.38,,0.0,,90.0,,5640.0,,4.515,,,,117.47941833333333,27.36318277777778,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,17.0,,0.0,45.99,6.91,6.491,6.718
HD63433c,HD63433c,20.543811,1.8e-05,2459460.37371,0.00033,4.06,,0.8285871653905819,,0.02687,,0.8285871653905819,34.38,,89.147,,0.0,,90.0,,5640.0,,4.515,,,,117.47941833333333,27.36318277777778,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,7.0,,0.0,30.4,6.91,6.491,6.718
HD63935b,HD63935b,9.0588586,6.4e-06,2459264.44565,0.00063,3.37,,0.9390135685154455,,0.0285,,0.9390135685154455,18.6,,88.49,,0.0,,90.0,,5534.0,,4.38,,,,117.92498541666667,9.38605361111111,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,alert,9.0,,-16.25,31.7,8.58,8.1,8.394
